# x	y	u	v	flags	mask
2.7000e+01	4.6000e+02	2.1793e+01	-1.3847e+01	0.0000e+00	0.0000e+00
4.8000e+01	4.6000e+02	7.0981e+01	-6.9715e+01	0.0000e+00	0.0000e+00
6.9000e+01	4.6000e+02	-2.6813e+01	-6.9296e+01	0.0000e+00	0.0000e+00
9.0000e+01	4.6000e+02	7.4936e+01	-6.5266e+01	0.0000e+00	0.0000e+00
1.1100e+02	4.6000e+02	6.8476e+01	-6.8482e+01	0.0000e+00	0.0000e+00
1.3200e+02	4.6000e+02	-7.9260e+01	-6.2776e+01	0.0000e+00	0.0000e+00
1.5300e+02	4.6000e+02	-8.1639e+01	-3.7198e+01	0.0000e+00	0.0000e+00
1.7400e+02	4.6000e+02	2.1105e+02	-2.1904e+01	0.0000e+00	0.0000e+00
1.9500e+02	4.6000e+02	8.3967e+01	-2.9300e+01	0.0000e+00	0.0000e+00
2.1600e+02	4.6000e+02	7.7632e+01	-4.9206e+01	0.0000e+00	0.0000e+00
2.3700e+02	4.6000e+02	-6.8625e+01	-3.8794e+01	0.0000e+00	0.0000e+00
2.5800e+02	4.6000e+02	7.3780e+01	-6.4728e+01	0.0000e+00	0.0000e+00
2.7900e+02	4.6000e+02	4.9444e+01	-6.7335e+01	0.0000e+00	0.0000e+00
3.0000e+02	4.6000e+02	-8.1831e+01	-6.3754e+01	0.0000e+00	0.0000e+00
3.2100e+02	4.6000e+02	-8.4097e+01	-5.8966e+01	0.0000e+00	0.0000e+00
3.4200e+02	4.6000e+02	-7.0265e+01	-5.6942e+01	0.0000e+00	0.0000e+00
3.6300e+02	4.6000e+02	-7.7133e+01	-3.0594e+01	0.0000e+00	0.0000e+00
3.8400e+02	4.6000e+02	5.8073e+01	-6.9541e+01	0.0000e+00	0.0000e+00
4.0500e+02	4.6000e+02	-7.6704e+01	-6.4801e+01	0.0000e+00	0.0000e+00
4.2600e+02	4.6000e+02	-8.2210e+01	-6.3422e+01	0.0000e+00	0.0000e+00
4.4700e+02	4.6000e+02	4.2139e+02	-4.1668e+01	0.0000e+00	0.0000e+00
4.6800e+02	4.6000e+02	1.5665e+02	-4.4379e+01	0.0000e+00	0.0000e+00
4.8900e+02	4.6000e+02	-6.6974e+01	-3.5880e+01	0.0000e+00	0.0000e+00
5.1000e+02	4.6000e+02	1.1099e+01	-6.3329e+01	0.0000e+00	0.0000e+00
5.3100e+02	4.6000e+02	6.4202e+01	-6.5728e+01	0.0000e+00	0.0000e+00
5.5200e+02	4.6000e+02	-8.4862e+01	-3.4094e+01	0.0000e+00	0.0000e+00
5.7300e+02	4.6000e+02	-8.1304e+01	-2.8752e+01	0.0000e+00	0.0000e+00
5.9400e+02	4.6000e+02	-8.3931e+01	-3.1817e+01	0.0000e+00	0.0000e+00
6.1500e+02	4.6000e+02	7.9930e+01	-3.4256e+01	0.0000e+00	0.0000e+00
6.3600e+02	4.6000e+02	-6.8563e+01	-5.4129e+01	0.0000e+00	0.0000e+00
6.5700e+02	4.6000e+02	9.6948e+00	-6.6425e+01	0.0000e+00	0.0000e+00
6.7800e+02	4.6000e+02	6.8386e+01	-5.5158e+01	0.0000e+00	0.0000e+00
6.9900e+02	4.6000e+02	-3.6423e+01	-6.5250e+01	0.0000e+00	0.0000e+00
7.2000e+02	4.6000e+02	6.7612e+01	-6.3882e+01	0.0000e+00	0.0000e+00
7.4100e+02	4.6000e+02	-6.4705e+01	-2.7550e+01	0.0000e+00	0.0000e+00
7.6200e+02	4.6000e+02	-6.3728e+01	-8.7388e+00	0.0000e+00	0.0000e+00
7.8300e+02	4.6000e+02	5.1503e-01	5.0568e-01	0.0000e+00	0.0000e+00
8.0400e+02	4.6000e+02	6.6455e+01	-2.0259e+00	0.0000e+00	0.0000e+00
8.2500e+02	4.6000e+02	-7.6355e-01	-8.9056e+00	0.0000e+00	0.0000e+00
2.7000e+01	4.3900e+02	1.7123e+01	-2.0517e+02	0.0000e+00	0.0000e+00
